year,county,COUNT
2003,39001,245
2003,39003,1005
2003,39005,433
2003,39007,685
2003,39009,563
2003,39011,281
2003,39013,478
2003,39015,334
2003,39017,2693
2003,39019,209
2003,39021,232
2003,39023,1032
2003,39025,1605
2003,39027,379
2003,39029,595
2003,39031,317
2003,39033,235
2003,39035,7744
2003,39037,309
2003,39039,318
2003,39041,822
2003,39043,618
2003,39045,871
2003,39047,225
2003,39049,8730
2003,39051,249
2003,39053,299
2003,39055,489
2003,39057,1264
2003,39059,405
2003,39061,8480
2003,39063,733
2003,39065,205
2003,39067,69
2003,39069,140
2003,39071,293
2003,39073,227
2003,39075,284
2003,39077,394
2003,39079,348
2003,39081,450
2003,39083,461
2003,39085,1497
2003,39087,375
2003,39089,1013
2003,39091,341
2003,39093,1832
2003,39095,4212
2003,39097,229
2003,39099,1717
2003,39101,459
2003,39103,977
2003,39105,148
2003,39107,234
2003,39109,711
2003,39111,61
2003,39113,3258
2003,39115,94
2003,39117,277
2003,39119,916
2003,39121,82
2003,39123,207
2003,39125,135
2003,39127,191
2003,39129,350
2003,39131,191
2003,39133,1393
2003,39135,287
2003,39137,162
2003,39139,1074
2003,39141,560
2003,39143,484
2003,39145,680
2003,39147,417
2003,39149,370
2003,39151,3017
2003,39153,4200
2003,39155,1362
2003,39157,686
2003,39159,264
2003,39161,167
2003,39163,119
2003,39165,1146
2003,39167,436
2003,39169,813
2003,39171,250
2003,39173,1184
2003,39175,199
2004,39001,230
2004,39003,989
2004,39005,410
2004,39007,641
2004,39009,511
2004,39011,245
2004,39013,442
2004,39015,330
2004,39017,2438
2004,39019,153
2004,39021,211
2004,39023,900
2004,39025,1563
2004,39027,316
2004,39029,598
2004,39031,294
2004,39033,229
2004,39035,7526
2004,39037,321
2004,39039,322
2004,39041,882
2004,39043,595
2004,39045,933
2004,39047,238
2004,39049,8492
2004,39051,217
2004,39053,277
2004,39055,556
2004,39057,1238
2004,39059,393
2004,39061,8096
2004,39063,744
2004,39065,179
2004,39067,63
2004,39069,144
2004,39071,296
2004,39073,228
2004,39075,299
2004,39077,350
2004,39079,279
2004,39081,387
2004,39083,487
2004,39085,1424
2004,39087,360
2004,39089,1130
2004,39091,372
2004,39093,1815
2004,39095,4182
2004,39097,200
2004,39099,1687
2004,39101,432
2004,39103,952
2004,39105,139
2004,39107,204
2004,39109,716
2004,39111,57
2004,39113,3268
2004,39115,86
2004,39117,264
2004,39119,826
2004,39121,69
2004,39123,218
2004,39125,99
2004,39127,196
2004,39129,317
