year,county,COUNT
2003,39001,15
2003,39003,35
2003,39005,15
2003,39007,31
2003,39009,16
2003,39011,10
2003,39013,13
2003,39015,16
2003,39017,74
2003,39019,11
2003,39021,8
2003,39023,45
2003,39025,43
2003,39027,11
2003,39029,22
2003,39031,8
2003,39033,6
2003,39035,182
2003,39037,10
2003,39039,15
2003,39041,20
2003,39043,22
2003,39045,15
2003,39047,8
2003,39049,269
2003,39051,9
2003,39053,14
2003,39055,16
2003,39057,32
2003,39059,21
2003,39061,208
2003,39063,15
2003,39065,3
2003,39067,6
2003,39069,4
2003,39071,7
2003,39073,5
2003,39075,12
2003,39077,7
2003,39079,16
2003,39081,16
2003,39083,13
2003,39085,29
2003,39087,16
2003,39089,28
2003,39091,15
2003,39093,50
2003,39095,83
2003,39097,8
2003,39099,55
2003,39101,11
2003,39103,26
2003,39105,6
2003,39107,4
2003,39109,11
2003,39111,8
2003,39113,133
2003,39115,5
2003,39117,10
2003,39119,26
2003,39121,2
2003,39123,9
2003,39125,5
2003,39127,7
2003,39129,12
2003,39131,9
2003,39133,41
2003,39135,14
2003,39137,3
2003,39139,29
2003,39141,21
2003,39143,16
2003,39145,24
2003,39147,9
2003,39149,8
2003,39151,72
2003,39153,86
2003,39155,36
2003,39157,11
2003,39159,12
2003,39161,1
2003,39163,5
2003,39165,39
2003,39167,11
2003,39169,27
2003,39171,10
2003,39173,27
2003,39175,8
2004,39001,10
2004,39003,16
2004,39005,12
2004,39007,33
2004,39009,23
2004,39011,9
2004,39013,15
2004,39015,11
2004,39017,65
2004,39019,8
2004,39021,11
2004,39023,44
2004,39025,43
2004,39027,7
2004,39029,25
2004,39031,3
2004,39033,5
2004,39035,208
2004,39037,10
2004,39039,9
2004,39041,34
2004,39043,25
2004,39045,26
2004,39047,5
2004,39049,236
2004,39051,5
2004,39053,14
2004,39055,13
2004,39057,26
2004,39059,10
2004,39061,160
2004,39063,15
2004,39065,5
2004,39067,4
2004,39069,6
2004,39071,9
2004,39073,9
2004,39075,9
2004,39077,21
2004,39079,13
2004,39081,19
2004,39083,11
2004,39085,29
2004,39087,19
2004,39089,40
2004,39091,12
2004,39093,47
2004,39095,106
2004,39097,7
2004,39099,47
2004,39101,10
2004,39103,18
2004,39105,15
2004,39107,5
2004,39109,22
2004,39111,2
2004,39113,110
2004,39115,5
2004,39117,6
2004,39119,24
2004,39121,5
2004,39123,6
2004,39125,2
2004,39127,12
2004,39129,12
2004,39131,17
2004,39133,32
2004,39135,6
2004,39137,4
2004,39139,33
2004,39141,31
2004,39143,17
2004,39145,27
2004,39147,11
2004,39149,11
2004,39151,63
2004,39153,108
2004,39155,44
2004,39157,31
2004,39159,13
2004,39161,5
2004,39163,5
2004,39165,28
2004,39167,20
2004,39169,32
2004,39171,9
2004,39173,24
2004,39175,9
2005,39001,15
2005,39003,18
2005,39005,22
2005,39007,29
2005,39009,10
2005,39011,5
2005,39013,9
2005,39015,12
2005,39017,91
2005,39019,4
2005,39021,11
2005,39023,36
2005,39025,56
2005,39027,15
2005,39029,26
2005,39031,6
2005,39033,1
