County,FC = 01,FC = 02,FC = 06,FC = 07,FC = 08,FC = 09,RURAL,FC = 11,FC = 12,FC = 14,FC = 16,FC = 17,FC = 19,URBAN,Total
ADAMS,0,213.46,107.43,282.3,23.79,120.06,747.04,0,0,0,0,0,0,0,747.04
ALLEN,404.97,205,123.06,280.17,64.79,252.67,1330.65,445.78,0,329.71,352.21,211.7,437.91,1777.31,3107.96
ASHLAND,646.13,311.21,155.25,222.22,72.05,117.73,1524.59,0,0,162.68,27.9,37.07,21.01,248.66,1773.25
ASHTABULA,624.04,210.3,252.36,425.9,102.93,203.84,1819.37,132.12,44.14,193.77,205.47,145.13,306.22,1026.85,2846.22
ATHENS,0,421.94,106.03,158.28,44.72,72.5,803.48,0,141.57,293.33,75.74,59.96,97.5,668.1,1471.58
AUGLAIZE,369.63,229.7,11.47,277.88,46.16,124.31,1059.16,79.35,44.23,4.96,106.24,104.64,47.85,387.27,1446.43
BELMONT,706.35,103.23,85.57,374.51,64.94,90.95,1425.55,344.37,192.23,115.3,203.52,49.32,76.89,981.63,2407.18
BROWN,0,469.43,224.12,183.65,37.38,182.21,1096.79,0,0,28.16,0,5.54,1.03,34.73,1131.52
BUTLER,0,153.55,95.55,318.82,185.71,238.9,992.53,1242.75,313.71,1105.06,1091.35,771.78,1246.64,5771.29,6763.81
CARROLL,0,0,281.95,120.28,44.82,100.88,547.93,0,0,0,0,0,0,0,547.93
CHAMPAIGN,0,167.58,109.39,250.35,41.63,134.12,703.07,0,0,78.74,25.74,14.77,48.15,167.4,870.47
CLARK,1010.18,197.24,26.12,389.71,35.57,343.88,2002.69,640.83,117.29,135.93,626.9,405.93,351.16,2278.04,4280.73
CLERMONT,0,294.13,47.9,419.75,23.27,269.03,1054.08,990.03,112.24,573.46,560.33,440.49,279.71,2956.26,4010.34
CLINTON,553.33,0,314.55,360.62,5.2,369.17,1602.88,0,0,134.36,22.62,25.24,8.49,190.71,1793.58
COLUMBIANA,0,259.4,171,455.77,142.31,259.51,1288,0,142.46,235.69,200.76,301.6,124.85,1005.36,2293.35
COSHOCTON,0,196.36,93.79,131.46,130.67,192.14,744.41,0,0,34.71,34.53,38.57,104.84,212.65,957.06
CRAWFORD,0,169.1,53.76,227.52,34.58,168.25,653.21,0,0,145.25,87.68,98.48,71.15,402.56,1055.77
CUYAHOGA,0,0,0,0,0,0,0,11832.83,824.16,4148.69,4716.02,1542.77,4738.97,27803.44,27803.44
DARKE,0,149.4,181.96,367.58,126.27,281.67,1106.87,0,30.84,51.99,41.26,28.26,12.26,164.61,1271.48
DEFIANCE,0,103.27,33.64,313.99,58.45,171.44,680.79,0,0,125.07,116.07,39.99,12.83,293.96,974.75
DELAWARE,784.81,436.68,245.12,254.8,42.63,262.42,2026.46,329.66,126.34,605.33,655.23,249.05,200.54,2166.15,4192.6
ERIE,996.94,411,88.8,238.63,19.46,111.29,1866.12,0,259.95,263.14,121.51,133.06,110.96,888.62,2754.73
FAIRFIELD,0,425.85,169.06,407.84,116.15,278.88,1397.78,190.59,45.06,172.11,293.27,455.66,281.12,1437.81,2835.58
FAYETTE,515.15,175.5,149.75,206.47,65.85,84.51,1197.23,0,39.22,46.65,64.65,20.71,15.68,186.91,1384.13
FRANKLIN,165.14,0,31.38,73.33,67.08,117.69,454.62,11684.13,2127.3,3369.94,5306.14,1863.78,4359.73,28711.02,29165.65
FULTON,578.12,135.71,180.08,356.73,39.85,160.78,1451.27,0,0,40.56,15.47,22.3,13.97,92.3,1543.57
GALLIA,0,304.12,0,267.45,11.46,164.86,747.89,0,0,106.83,0,66.87,9.63,183.33,931.22
