SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
50,39,1,Ohio,Adams County,3,2000,4,1937,975,962,960,934,0,2,8,7,1,2,0,1,6,16,965,950,950,924,0,2,8,5,1,2,0,1,6,16,10,12,10,10,0,0,0,2,0,0,0,0,0,0
50,39,1,Ohio,Adams County,3,2000,5,1730,859,871,840,857,4,2,8,4,1,1,0,0,6,7,852,867,836,853,3,2,7,4,1,1,0,0,5,7,7,4,4,4,1,0,1,0,0,0,0,0,1,0
50,39,1,Ohio,Adams County,3,2000,7,1860,959,901,936,883,4,1,7,8,1,4,1,0,10,5,951,893,930,876,4,1,6,7,1,4,1,0,9,5,8,8,6,7,0,0,1,1,0,0,0,0,1,0
50,39,1,Ohio,Adams County,4,2001,4,1935,991,944,975,918,1,2,8,7,1,2,0,1,6,14,980,927,964,903,1,2,8,5,1,2,0,1,6,14,11,17,11,15,0,0,0,2,0,0,0,0,0,0
50,39,1,Ohio,Adams County,4,2001,5,1776,885,891,866,877,3,2,8,4,1,1,0,0,7,7,877,884,861,870,2,2,7,4,1,1,0,0,6,7,8,7,5,7,1,0,1,0,0,0,0,0,1,0
50,39,1,Ohio,Adams County,4,2001,7,1864,965,899,943,882,4,1,7,7,1,4,1,0,9,5,958,891,938,875,4,1,6,6,1,4,1,0,8,5,7,8,5,7,0,0,1,1,0,0,0,0,1,0
50,39,1,Ohio,Adams County,5,2002,4,1963,1014,949,994,922,3,2,8,6,1,3,0,0,8,16,1006,941,986,916,3,2,8,4,1,3,0,0,8,16,8,8,8,6,0,0,0,2,0,0,0,0,0,0
50,39,1,Ohio,Adams County,5,2002,5,1798,901,897,879,883,4,2,9,3,1,1,0,0,8,8,889,889,870,875,3,2,8,3,1,1,0,0,7,8,12,8,9,8,1,0,1,0,0,0,0,0,1,0
50,39,1,Ohio,Adams County,5,2002,7,1840,959,881,939,866,4,1,6,7,1,2,1,0,8,5,951,875,933,861,4,1,5,6,1,2,1,0,7,5,8,6,6,5,0,0,1,1,0,0,0,0,1,0
50,39,1,Ohio,Adams County,6,2003,4,1992,1014,978,995,949,3,2,7,6,1,3,0,0,8,18,1004,967,985,940,3,2,7,4,1,3,0,0,8,18,10,11,10,9,0,0,0,2,0,0,0,0,0,0
