SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,39,1,Ohio,Adams County,3,2010,4,1941,977,964,955,935,7,2,3,2,0,4,0,0,12,21,965,955,10,10,11,13,3,7,0,0,966,954,944,927,7,2,3,1,0,4,0,0,12,20,954,946,10,10,11,12,3,6,0,0,11,10,11,8,0,0,0,1,0,0,0,0,0,1,11,9,0,0,0,1,0,1,0,0
50,39,1,Ohio,Adams County,3,2010,5,1544,760,784,735,771,5,1,4,2,1,0,0,0,15,10,750,780,8,4,16,8,2,1,0,1,754,773,729,760,5,1,4,2,1,0,0,0,15,10,744,769,8,4,16,8,2,1,0,1,6,11,6,11,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0
50,39,1,Ohio,Adams County,3,2010,7,1665,816,849,808,834,3,1,2,1,2,0,0,0,1,13,809,847,4,4,2,11,2,0,0,0,808,845,801,830,3,1,2,1,1,0,0,0,1,13,802,843,4,4,2,11,1,0,0,0,8,4,7,4,0,0,0,0,1,0,0,0,0,0,7,4,0,0,0,0,1,0,0,0
50,39,1,Ohio,Adams County,4,2011,4,1846,918,928,893,897,7,4,5,2,0,5,0,0,13,20,906,917,11,11,11,13,3,7,0,0,906,919,881,890,7,4,5,1,0,5,0,0,13,19,894,909,11,11,11,11,3,7,0,0,12,9,12,7,0,0,0,1,0,0,0,0,0,1,12,8,0,0,0,2,0,0,0,0
50,39,1,Ohio,Adams County,4,2011,5,1585,779,806,753,791,4,2,4,3,0,0,0,0,18,10,771,798,8,6,20,10,1,1,0,1,773,796,747,781,4,2,4,3,0,0,0,0,18,10,765,788,8,6,20,10,1,1,0,1,6,10,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0
50,39,1,Ohio,Adams County,4,2011,7,1651,821,830,806,816,4,1,2,0,3,1,0,0,6,12,812,827,7,5,5,9,3,1,0,0,810,827,796,813,4,1,2,0,2,1,0,0,6,12,802,824,7,5,5,9,2,1,0,0,11,3,10,3,0,0,0,0,1,0,0,0,0,0,10,3,0,0,0,0,1,0,0,0
50,39,1,Ohio,Adams County,5,2012,4,1754,859,895,835,866,6,5,4,3,0,3,0,0,14,18,848,882,14,15,12,14,0,6,0,0,847,887,823,860,6,5,4,2,0,3,0,0,14,17,836,875,14,14,12,12,0,5,0,0,12,8,12,6,0,0,0,1,0,0,0,0,0,1,12,7,0,1,0,2,0,1,0,0
50,39,1,Ohio,Adams County,5,2012,5,1623,789,834,763,818,6,0,2,3,0,1,0,0,18,12,781,830,10,3,16,10,1,3,0,0,782,822,756,806,6,0,2,3,0,1,0,0,18,12,774,818,10,3,16,10,1,3,0,0,7,12,7,12,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0
50,39,1,Ohio,Adams County,5,2012,7,1596,786,810,771,796,5,3,1,0,3,1,0,0,6,10,777,806,6,5,6,6,3,2,0,1,775,808,760,794,5,3,1,0,3,1,0,0,6,10,766,804,6,5,6,6,3,2,0,1,11,2,11,2,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0
50,39,1,Ohio,Adams County,6,2013,4,1743,848,895,823,873,7,4,3,3,0,2,0,0,15,13,838,884,14,12,10,9,1,4,0,0,833,886,808,865,7,4,3,2,0,2,0,0,15,13,823,876,14,12,10,8,1,4,0,0,15,9,15,8,0,0,0,1,0,0,0,0,0,0,15,8,0,0,0,1,0,0,0,0
50,39,1,Ohio,Adams County,6,2013,5,1575,767,808,739,788,9,2,4,2,0,2,0,0,15,14,752,800,12,7,16,10,2,5,1,0,755,796,729,777,9,2,2,2,0,2,0,0,15,13,742,788,12,6,14,10,2,5,1,0,12,12,10,11,0,0,2,0,0,0,0,0,0,1,10,12,0,1,2,0,0,0,0,0
50,39,1,Ohio,Adams County,6,2013,7,1573,764,809,746,792,6,6,2,0,4,2,0,0,6,9,752,801,9,8,5,6,4,3,0,0,754,806,736,790,6,5,2,0,4,2,0,0,6,9,742,799,9,7,5,6,4,3,0,0,10,3,10,2,0,1,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0
50,39,1,Ohio,Adams County,7,2014,4,1749,868,881,843,859,5,6,4,3,0,0,0,0,16,13,857,872,13,13,10,8,3,1,1,0,855,870,830,849,5,6,4,3,0,0,0,0,16,12,844,861,13,13,10,7,3,1,1,0,13,11,13,10,0,0,0,0,0,0,0,0,0,1,13,11,0,0,0,1,0,0,0,0
50,39,1,Ohio,Adams County,7,2014,5,1581,771,810,736,778,13,4,5,3,0,4,0,0,17,21,753,797,17,11,18,18,1,6,0,0,757,801,726,771,11,4,3,2,0,4,0,0,17,20,743,790,15,10,16,16,1,6,0,0,14,9,10,7,2,0,2,1,0,0,0,0,0,1,10,7,2,1,2,2,0,0,0,0
50,39,1,Ohio,Adams County,7,2014,7,1545,745,800,724,787,5,6,5,0,4,1,0,0,7,6,731,793,8,10,8,3,5,1,0,0,737,797,716,785,5,5,5,0,4,1,0,0,7,6,723,791,8,9,8,3,5,1,0,0,8,3,8,2,0,1,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0
50,39,1,Ohio,Adams County,8,2015,4,1789,870,919,845,895,3,6,5,3,0,1,0,0,17,14,860,908,12,14,12,10,3,1,0,0,856,907,831,885,3,5,5,3,0,1,0,0,17,13,846,897,12,12,12,10,3,1,0,0,14,12,14,10,0,1,0,0,0,0,0,0,0,1,14,11,0,2,0,0,0,0,0,0
50,39,1,Ohio,Adams County,8,2015,5,1545,787,758,760,726,8,4,3,2,0,5,0,0,16,21,775,747,13,11,12,13,3,8,0,1,779,746,752,716,8,4,3,1,0,5,0,0,16,20,767,736,13,10,12,12,3,8,0,1,8,12,8,10,0,0,0,1,0,0,0,0,0,1,8,11,0,1,0,1,0,0,0,0
50,39,1,Ohio,Adams County,8,2015,7,1467,716,751,698,738,5,6,5,0,3,1,0,0,5,6,703,744,7,9,7,3,4,1,0,0,708,746,690,734,5,5,5,0,3,1,0,0,5,6,695,740,7,8,7,3,4,1,0,0,8,5,8,4,0,1,0,0,0,0,0,0,0,0,8,4,0,1,0,0,0,0,0,0
50,39,1,Ohio,Adams County,9,2016,4,1803,890,913,868,890,3,5,3,3,0,1,0,0,16,14,884,904,10,12,9,10,2,2,1,0,881,901,859,880,3,4,3,3,0,1,0,0,16,13,875,893,10,10,9,10,2,2,1,0,9,12,9,10,0,1,0,0,0,0,0,0,0,1,9,11,0,2,0,0,0,0,0,0
50,39,1,Ohio,Adams County,9,2016,5,1470,739,731,715,705,5,4,6,4,0,3,1,0,12,15,727,720,10,9,12,13,1,4,1,1,731,723,707,699,5,4,6,3,0,3,1,0,12,14,719,713,10,8,12,12,1,4,1,1,8,8,8,6,0,0,0,1,0,0,0,0,0,1,8,7,0,1,0,1,0,0,0,0
50,39,1,Ohio,Adams County,9,2016,7,1436,713,723,691,709,8,7,6,0,3,0,0,0,5,7,696,715,10,9,9,3,3,2,0,1,704,718,682,705,8,6,6,0,3,0,0,0,5,7,687,711,10,8,9,3,3,2,0,1,9,5,9,4,0,1,0,0,0,0,0,0,0,0,9,4,0,1,0,0,0,0,0,0
50,39,1,Ohio,Adams County,10,2017,4,1802,911,891,890,871,3,5,5,3,0,2,0,0,13,10,903,881,11,9,8,6,2,5,0,0,899,879,879,862,3,4,4,3,0,1,0,0,13,9,892,871,11,7,7,6,2,4,0,0,12,12,11,9,0,1,1,0,0,1,0,0,0,1,11,10,0,2,1,0,0,1,0,0
50,39,1,Ohio,Adams County,10,2017,5,1434,710,724,686,701,5,6,4,4,0,3,0,0,15,10,700,711,9,9,13,9,2,5,1,0,701,717,677,696,5,6,4,3,0,3,0,0,15,9,691,705,9,9,13,7,2,5,1,0,9,7,9,5,0,0,0,1,0,0,0,0,0,1,9,6,0,0,0,2,0,0,0,0
50,39,1,Ohio,Adams County,10,2017,7,1415,702,713,680,696,4,7,9,1,3,0,0,0,6,9,686,705,4,9,13,6,5,2,0,0,694,706,672,690,4,6,9,1,3,0,0,0,6,9,678,699,4,8,13,6,5,2,0,0,8,7,8,6,0,1,0,0,0,0,0,0,0,0,8,6,0,1,0,0,0,0,0,0
50,39,1,Ohio,Adams County,11,2018,4,1821,925,896,899,877,4,3,4,4,0,3,0,0,18,9,916,885,15,9,10,7,1,4,1,0,915,880,890,864,4,2,3,4,0,2,0,0,18,8,907,871,15,7,9,7,1,3,1,0,10,16,9,13,0,1,1,0,0,1,0,0,0,1,9,14,0,2,1,0,0,1,0,0
50,39,1,Ohio,Adams County,11,2018,5,1426,709,717,683,698,7,4,5,4,0,2,1,0,13,9,696,706,12,9,11,9,0,2,3,0,697,710,671,692,7,4,5,3,0,2,1,0,13,9,684,700,12,9,11,8,0,2,3,0,12,7,12,6,0,0,0,1,0,0,0,0,0,0,12,6,0,0,0,1,0,0,0,0
50,39,1,Ohio,Adams County,11,2018,7,1434,697,737,676,721,3,3,8,2,2,1,0,0,8,10,684,731,5,6,13,9,3,1,0,0,691,733,670,717,3,3,8,2,2,1,0,0,8,10,678,727,5,6,13,9,3,1,0,0,6,4,6,4,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0
50,39,3,Ohio,Allen County,3,2010,4,8282,4635,3647,3807,2962,645,511,13,7,29,27,3,1,138,139,3932,3099,751,623,41,29,48,41,5,2,4479,3563,3683,2895,634,507,6,7,28,26,2,0,126,128,3798,3021,733,612,29,26,45,39,4,0,156,84,124,67,11,4,7,0,1,1,1,1,12,11,134,78,18,11,12,3,3,2,1,2
50,39,3,Ohio,Allen County,3,2010,5,7648,4368,3280,3696,2766,542,397,16,5,22,14,2,2,90,96,3776,2858,594,464,34,28,45,26,12,5,4204,3194,3563,2695,524,393,11,4,22,13,2,1,82,88,3635,2780,572,456,26,21,44,25,12,4,164,86,133,71,18,4,5,1,0,1,0,1,8,8,141,78,22,8,8,7,1,1,0,1
50,39,3,Ohio,Allen County,3,2010,7,6174,3110,3064,2557,2559,480,406,8,7,22,26,1,0,42,66,2591,2619,508,451,21,25,30,38,5,2,2994,2979,2456,2490,472,399,6,5,20,26,1,0,39,59,2488,2544,499,440,17,22,27,36,5,1,116,85,101,69,8,7,2,2,2,0,0,0,3,7,103,75,9,11,4,3,3,2,0,1
50,39,3,Ohio,Allen County,4,2011,4,7775,4258,3517,3440,2854,623,487,12,10,31,28,3,1,149,137,3583,2988,740,595,34,34,52,43,7,2,4091,3431,3301,2785,614,483,5,9,30,27,2,0,139,127,3435,2910,723,584,26,28,50,40,5,1,167,86,139,69,9,4,7,1,1,1,1,1,10,10,148,78,17,11,8,6,2,3,2,1
50,39,3,Ohio,Allen County,4,2011,5,8036,4617,3419,3897,2866,588,429,19,5,20,16,2,1,91,102,3979,2962,644,505,43,26,41,29,11,3,4443,3332,3758,2797,570,426,14,4,20,15,2,0,79,90,3828,2882,618,494,33,21,39,27,11,2,174,87,139,69,18,3,5,1,0,1,0,1,12,12,151,80,26,11,10,5,2,2,0,1
50,39,3,Ohio,Allen County,4,2011,7,6241,3176,3065,2602,2561,482,411,9,3,36,22,1,0,46,68,2641,2626,508,454,19,24,45,33,9,3,3050,2974,2492,2482,474,405,7,3,34,22,1,0,42,62,2527,2542,499,445,15,20,43,33,8,3,126,91,110,79,8,6,2,0,2,0,0,0,4,6,114,84,9,9,4,4,2,0,1,0
50,39,3,Ohio,Allen County,5,2012,4,7514,4115,3399,3291,2757,613,467,15,9,35,28,2,1,159,137,3444,2892,739,581,37,32,55,42,5,4,3946,3297,3153,2671,600,461,7,8,34,28,1,1,151,128,3298,2797,720,567,28,29,53,40,4,2,169,102,138,86,13,6,8,1,1,0,1,0,8,9,146,95,19,14,9,3,2,2,1,2
50,39,3,Ohio,Allen County,5,2012,5,8152,4674,3478,3900,2866,624,475,23,8,25,18,3,1,99,110,3991,2969,686,559,43,26,45,31,12,7,4485,3384,3753,2791,605,471,13,4,25,17,3,0,86,101,3831,2886,659,548,30,20,44,29,11,5,189,94,147,75,19,4,10,4,0,1,0,1,13,9,160,83,27,11,13,6,1,2,1,2
50,39,3,Ohio,Allen County,5,2012,7,6285,3210,3075,2651,2579,472,403,4,3,33,24,1,0,49,66,2695,2640,499,447,16,16,43,36,6,4,3075,2984,2532,2503,464,395,3,2,32,24,1,0,43,60,2571,2558,486,434,14,13,41,36,6,4,135,91,119,76,8,8,1,1,1,0,0,0,6,6,124,82,13,13,2,3,2,0,0,0
50,39,3,Ohio,Allen County,6,2013,4,7342,4015,3327,3201,2678,585,464,15,6,35,28,3,1,176,150,3373,2824,721,587,37,29,56,45,9,3,3846,3215,3066,2590,570,453,9,5,34,27,2,1,165,139,3227,2726,700,570,27,25,55,42,7,2,169,112,135,88,15,11,6,1,1,1,1,0,11,11,146,98,21,17,10,4,1,3,2,1
50,39,3,Ohio,Allen County,6,2013,5,8211,4681,3530,3876,2895,642,485,25,10,27,28,2,1,109,111,3967,3000,713,572,50,33,51,40,14,5,4470,3427,3711,2812,624,480,14,6,27,27,2,0,92,102,3788,2909,685,559,32,27,48,39,13,4,211,103,165,83,18,5,11,4,0,1,0,1,17,9,179,91,28,13,18,6,3,1,1,1
50,39,3,Ohio,Allen County,6,2013,7,6269,3229,3040,2661,2538,484,397,5,8,31,25,1,0,47,72,2700,2604,512,445,16,29,42,36,7,2,3087,2946,2536,2462,477,388,3,4,29,25,1,0,41,67,2570,2523,501,434,12,22,39,36,7,2,142,94,125,76,7,9,2,4,2,0,0,0,6,5,130,81,11,11,4,7,3,0,0,0
50,39,3,Ohio,Allen County,7,2014,4,7337,4025,3312,3226,2644,553,471,14,6,34,26,3,1,195,164,3416,2804,715,606,41,27,55,42,6,7,3862,3187,3097,2549,540,457,6,5,33,25,2,1,184,150,3277,2695,694,582,30,23,53,38,5,7,163,125,129,95,13,14,8,1,1,1,1,0,11,14,139,109,21,24,11,4,2,4,1,0
50,39,3,Ohio,Allen County,7,2014,5,8022,4522,3500,3709,2865,647,479,19,9,28,25,1,1,118,121,3815,2980,728,571,40,34,50,41,12,2,4316,3391,3544,2777,628,477,11,5,27,24,1,0,105,108,3638,2880,700,561,28,25,48,38,12,1,206,109,165,88,19,2,8,4,1,1,0,1,13,13,177,100,28,10,12,9,2,3,0,1
50,39,3,Ohio,Allen County,7,2014,7,6145,3173,2972,2630,2483,460,389,5,6,31,32,0,0,47,62,2671,2543,487,430,13,22,41,42,8,0,3031,2875,2505,2404,452,378,4,2,29,32,0,0,41,59,2540,2461,476,418,10,16,39,42,7,0,142,97,125,79,8,11,1,4,2,0,0,0,6,3,131,82,11,12,3,6,2,0,1,0
50,39,3,Ohio,Allen County,8,2015,4,7333,3955,3378,3153,2663,545,502,14,8,30,19,2,1,211,185,3355,2842,717,654,40,36,58,33,7,5,3793,3233,3030,2552,528,487,6,6,28,18,2,1,199,169,3221,2715,692,628,28,28,53,32,7,5,162,145,123,111,17,15,8,2,2,1,0,0,12,16,134,127,25,26,12,8,5,1,0,0
50,39,3,Ohio,Allen County,8,2015,5,7757,4355,3402,3529,2786,651,471,13,7,24,19,3,1,135,118,3648,2894,746,562,35,26,51,34,13,6,4132,3298,3350,2703,628,467,9,4,23,18,2,0,120,106,3454,2802,713,547,25,20,50,32,12,5,223,104,179,83,23,4,4,3,1,1,1,1,15,12,194,92,33,15,10,6,1,2,1,1
