State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
39,001,OH,Adams County,"6,127","5,117","7,137",21.9,18.3,25.6,"2,159","1,750","2,568",31.8,25.7,37.8,"1,443","1,148","1,738",29.6,23.5,35.6,"34,564","31,464","37,665",,,,,,
39,003,OH,Allen County,"14,749","12,706","16,792",14.7,12.6,16.7,"5,265","4,370","6,161",20.9,17.3,24.4,"3,401","2,738","4,064",18.8,15.1,22.4,"44,360","40,920","47,800",,,,,,
39,005,OH,Ashland County,"6,302","5,188","7,415",12.0,9.9,14.1,"2,117","1,673","2,561",16.9,13.3,20.4,"1,312","1,014","1,610",14.3,11.1,17.6,"43,151","40,707","45,594",,,,,,
39,007,OH,Ashtabula County,"15,304","13,099","17,508",15.6,13.3,17.8,"5,505","4,517","6,494",23.8,19.5,28.0,"3,570","2,850","4,290",21.1,16.8,25.3,"41,899","38,794","45,004",,,,,,
39,009,OH,Athens County,"16,134","13,959","18,310",29.6,25.6,33.6,"3,110","2,551","3,670",30.2,24.8,35.7,"1,998","1,595","2,401",27.2,21.7,32.7,"35,301","32,262","38,341",,,,,,
39,011,OH,Auglaize County,"3,583","2,901","4,266",7.8,6.3,9.3,"1,165",924,"1,405",10.4,8.3,12.6,671,519,823,8.2,6.4,10.1,"52,152","47,855","56,448",,,,,,
39,013,OH,Belmont County,"10,276","8,730","11,822",16.1,13.6,18.5,"2,966","2,413","3,519",22.7,18.5,27.0,"1,884","1,488","2,280",19.9,15.7,24.0,"37,941","35,114","40,769",,,,,,
39,015,OH,Brown County,"5,747","4,714","6,779",13.2,10.9,15.6,"2,208","1,762","2,655",20.8,16.6,25.0,"1,398","1,082","1,714",17.9,13.8,21.9,"44,912","41,498","48,325",,,,,,
39,017,OH,Butler County,"41,659","36,954","46,364",11.9,10.6,13.3,"12,130","10,048","14,213",13.7,11.3,16.0,"7,648","6,237","9,059",12.1,9.9,14.3,"52,856","50,856","54,856",,,,,,
39,019,OH,Carroll County,"3,500","2,826","4,175",12.5,10.1,14.9,"1,283","1,008","1,557",20.9,16.4,25.4,840,645,"1,035",18.3,14.1,22.6,"43,889","41,015","46,762",,,,,,
39,021,OH,Champaign County,"4,575","3,762","5,387",11.8,9.7,13.9,"1,542","1,226","1,858",16.5,13.1,19.8,974,763,"1,185",14.3,11.2,17.4,"47,225","43,513","50,938",,,,,,
39,023,OH,Clark County,"18,870","16,380","21,360",13.8,12.0,15.7,"7,063","5,916","8,209",22.1,18.5,25.6,"4,609","3,789","5,429",20.0,16.4,23.5,"45,480","43,339","47,621",,,,,,
39,025,OH,Clermont County,"16,994","14,638","19,350",8.8,7.6,10.0,"5,722","4,656","6,789",11.4,9.3,13.5,"3,380","2,659","4,101",9.3,7.3,11.3,"60,735","57,806","63,663",,,,,,
39,027,OH,Clinton County,"4,608","3,767","5,449",10.9,8.9,12.9,"1,675","1,328","2,023",16.0,12.7,19.3,"1,014",780,"1,248",13.5,10.4,16.6,"49,440","45,923","52,958",,,,,,
39,029,OH,Columbiana County,"15,088","12,810","17,366",14.5,12.3,16.7,"4,816","3,922","5,709",21.1,17.2,25.0,"3,047","2,408","3,686",18.1,14.3,21.8,"40,700","38,215","43,186",,,,,,
39,031,OH,Coshocton County,"4,675","3,826","5,524",13.2,10.8,15.5,"1,639","1,295","1,983",19.8,15.6,23.9,"1,039",798,"1,280",17.1,13.2,21.1,"41,451","37,926","44,977",,,,,,
39,033,OH,Crawford County,"5,436","4,536","6,336",12.6,10.5,14.7,"1,979","1,598","2,360",20.4,16.5,24.3,"1,183",921,"1,445",16.7,13.0,20.4,"42,146","39,686","44,606",,,,,,
39,035,OH,Cuyahoga County,"199,694","188,016","211,372",15.9,15.0,16.8,"67,353","61,042","73,664",22.7,20.5,24.8,"46,281","41,391","51,171",21.2,19.0,23.5,"44,324","43,219","45,430",,,,,,
39,037,OH,Darke County,"5,007","4,182","5,832",9.8,8.1,11.4,"1,625","1,303","1,947",13.4,10.7,16.0,"1,038",810,"1,266",11.8,9.2,14.4,"44,662","42,569","46,756",,,,,,
39,039,OH,Defiance County,"3,725","3,056","4,394",9.8,8.1,11.6,"1,329","1,069","1,588",14.8,11.9,17.6,773,605,941,11.9,9.3,14.5,"49,614","45,777","53,451",,,,,,
39,041,OH,Delaware County,"7,877","6,470","9,284",4.9,4.0,5.7,"2,370","1,870","2,870",5.3,4.2,6.4,"1,388","1,063","1,713",4.4,3.3,5.4,"88,645","83,975","93,316",,,,,,
39,043,OH,Erie County,"9,044","7,569","10,518",12.0,10.1,14.0,"2,780","2,245","3,314",16.8,13.5,20.0,"1,713","1,340","2,086",14.0,10.9,17.0,"47,093","44,682","49,504",,,,,,
39,045,OH,Fairfield County,"12,397","10,599","14,195",8.9,7.6,10.2,"3,864","3,121","4,606",11.2,9.0,13.3,"2,398","1,884","2,912",9.3,7.3,11.3,"58,019","54,724","61,314",,,,,,
39,047,OH,Fayette County,"3,622","2,991","4,254",13.1,10.8,15.3,"1,339","1,070","1,607",20.1,16.0,24.1,840,653,"1,027",17.8,13.8,21.7,"44,703","40,642","48,763",,,,,,
39,049,OH,Franklin County,"166,917","155,102","178,732",15.1,14.0,16.2,"56,290","49,843","62,738",19.7,17.4,21.9,"33,172","28,559","37,785",16.8,14.5,19.1,"51,246","50,345","52,147",,,,,,
39,051,OH,Fulton County,"3,283","2,678","3,888",7.8,6.4,9.3,"1,128",894,"1,362",10.9,8.7,13.2,689,535,843,9.0,7.0,11.0,"51,772","48,293","55,251",,,,,,
39,053,OH,Gallia County,"6,092","4,937","7,246",20.3,16.4,24.1,"2,177","1,711","2,642",31.1,24.4,37.7,"1,433","1,103","1,763",28.6,22.0,35.1,"38,997","35,594","42,400",,,,,,
39,055,OH,Geauga County,"6,467","5,311","7,623",6.9,5.7,8.1,"2,143","1,704","2,582",9.6,7.6,11.5,"1,353","1,047","1,659",7.9,6.1,9.7,"62,223","59,791","64,655",,,,,,
39,057,OH,Greene County,"16,162","13,686","18,637",10.7,9.1,12.4,"4,458","3,575","5,342",13.0,10.5,15.6,"2,820","2,208","3,432",11.3,8.8,13.7,"58,153","55,168","61,137",,,,,,
39,059,OH,Guernsey County,"6,786","5,608","7,964",17.1,14.2,20.1,"2,465","1,969","2,962",26.5,21.2,31.9,"1,583","1,243","1,923",23.2,18.3,28.2,"37,325","34,402","40,247",,,,,,
39,061,OH,Hamilton County,"113,411","105,338","121,484",13.6,12.7,14.6,"40,834","36,105","45,563",20.0,17.7,22.4,"26,659","23,191","30,127",18.3,15.9,20.6,"50,285","49,124","51,447",,,,,,
39,063,OH,Hancock County,"7,025","5,860","8,190",9.8,8.1,11.4,"2,188","1,755","2,621",12.6,10.1,15.1,"1,309","1,011","1,607",10.4,8.0,12.8,"51,823","48,730","54,916",,,,,,
39,065,OH,Hardin County,"4,309","3,539","5,078",14.7,12.0,17.3,"1,297","1,019","1,575",18.8,14.8,22.8,815,626,"1,004",16.3,12.5,20.1,"42,670","39,157","46,184",,,,,,
39,067,OH,Harrison County,"2,669","2,201","3,136",17.7,14.6,20.8,821,655,988,25.7,20.5,30.9,494,384,604,21.1,16.4,25.8,"35,655","32,492","38,817",,,,,,
39,069,OH,Henry County,"2,451","1,983","2,919",8.6,7.0,10.3,862,676,"1,048",12.5,9.8,15.3,543,415,671,10.8,8.3,13.4,"50,459","46,440","54,478",,,,,,
39,071,OH,Highland County,"5,376","4,457","6,295",12.9,10.7,15.1,"2,153","1,730","2,577",20.5,16.5,24.5,"1,444","1,135","1,753",19.0,15.0,23.1,"43,895","40,455","47,335",,,,,,
39,073,OH,Hocking County,"4,382","3,592","5,171",15.6,12.8,18.4,"1,506","1,195","1,816",22.8,18.1,27.4,950,736,"1,164",19.6,15.2,24.0,"40,564","37,049","44,079",,,,,,
39,075,OH,Holmes County,"4,392","3,544","5,240",10.8,8.7,12.9,"2,478","1,925","3,031",18.1,14.1,22.2,"1,621","1,225","2,017",16.5,12.4,20.5,"43,956","40,708","47,204",,,,,,
39,077,OH,Huron County,"8,070","6,841","9,300",13.7,11.6,15.8,"3,150","2,602","3,698",20.6,17.0,24.2,"1,917","1,537","2,297",17.3,13.9,20.7,"46,586","43,212","49,960",,,,,,
39,079,OH,Jackson County,"6,771","5,575","7,966",20.7,17.0,24.3,"2,277","1,822","2,732",29.3,23.4,35.1,"1,496","1,177","1,815",27.0,21.3,32.8,"36,888","33,314","40,461",,,,,,
39,081,OH,Jefferson County,"11,879","10,313","13,445",17.9,15.5,20.2,"3,377","2,802","3,952",25.6,21.2,29.9,"2,087","1,658","2,516",21.5,17.1,26.0,"36,738","34,928","38,549",,,,,,
39,083,OH,Knox County,"7,336","6,125","8,546",13.2,11.0,15.4,"2,563","2,058","3,069",19.0,15.2,22.7,"1,607","1,255","1,959",16.5,12.9,20.1,"45,745","42,848","48,641",,,,,,
39,085,OH,Lake County,"19,629","16,793","22,465",8.5,7.3,9.7,"6,272","5,138","7,407",12.3,10.0,14.5,"3,924","3,135","4,713",10.3,8.2,12.4,"58,228","55,662","60,795",,,,,,
